Time,G8,G9,GA,GB,B1,B2,B3,lat,lon,gpsacc,imei,time
0,-90,-97,-96,-98,-88,0,0,10.8808876,-1.0877725,14,8.62E+14,735925.494
0,-103,-98,-96,-102,-99,0,0,10.8808876,-1.0877724,11,8.62E+14,735925.4941
0,-96,-99,-99,-98,-100,0,0,10.8808876,-1.0877724,96,8.62E+14,735925.4942
0,-98,-98,-99,-103,-99,0,0,10.8808876,-1.0877724,96,8.62E+14,735925.4944
0,-101,0,-100,0,-97,0,0,10.8808875,-1.0877724,27,8.62E+14,735925.4945
0,-97,-100,-99,-97,-96,0,0,10.8808875,-1.0877724,15,8.62E+14,735925.4946
0,-97,-100,-98,-100,-99,0,0,10.8808875,-1.0877724,96,8.62E+14,735925.4947
0,-98,-100,-97,-99,-92,0,0,10.8808869,-1.0877729,96,8.62E+14,735925.4948
0,-85,-98,-96,-100,-98,0,0,10.8808863,-1.0877724,12,8.62E+14,735925.4949
0,-98,-98,-97,-98,-97,0,0,10.8808862,-1.0877726,7,8.62E+14,735925.495
0,-86,-96,-104,-96,-90,0,0,10.8808874,-1.087773,11,8.62E+14,735925.4952
0,-85,-97,-98,-99,-91,0,0,10.8808888,-1.0877673,14,8.62E+14,735925.4953
0,-92,-100,-98,-101,-91,0,0,10.8808895,-1.0877668,10,8.62E+14,735925.4954
0,-93,-97,-98,-101,-94,0,0,10.8808894,-1.0877673,15,8.62E+14,735925.4955
0,-96,-100,-101,-101,-93,0,0,10.8808886,-1.0877679,12,8.62E+14,735925.4956
0,-101,-97,-100,-96,-101,0,0,10.8808886,-1.0877678,96,8.62E+14,735925.4957
0,-98,0,0,0,-100,0,0,10.8808884,-1.0877685,42,8.62E+14,735925.4959
0,-101,0,0,-105,-101,0,0,10.8808885,-1.087768,19,8.62E+14,735925.496
0,-93,-94,-97,-96,-92,-79,0,10.8855066,-1.0778113,3258,8.62E+14,735925.4859
NaN,-87,-92,-93,-101,-95,-92,NaN,10.8854547,-1.0778013,3256,8.62E+14,735926.4806
0,-92,-94,-98,-98,-95,0,0,10.8854547,-1.0778013,3256,8.62E+14,735926.4808
0,-95,-99,-98,-100,-94,0,0,10.8854547,-1.0778013,3256,8.62E+14,735926.4809
0,-97,-97,-97,-96,-97,0,0,10.8789456,-1.0759808,2706,8.62E+14,735926.481
0,-97,-96,-101,-100,-93,0,0,10.8802475,-1.0763449,2706,8.62E+14,735926.4811
0,-90,-101,-100,-100,-99,0,0,10.8776439,-1.0756167,2706,8.62E+14,735926.4812
0,-86,-95,-95,-95,-96,0,0,10.8776439,-1.0756167,2706,8.62E+14,735926.4813
0,-87,-101,-95,-96,-98,0,0,10.8776439,-1.0756167,2706,8.62E+14,735926.4815
0,-89,-95,-99,-94,-89,0,0,10.8776439,-1.0756167,2706,8.62E+14,735926.4816
0,-88,-96,-100,-95,-99,0,0,10.8809193,-1.0877362,3.9,8.62E+14,735926.4817
0,-98,-96,-95,-93,-98,0,0,10.8808993,-1.0877753,8,8.62E+14,735926.4818
0,-100,-102,-96,-93,-99,0,0,10.8809229,-1.0877655,9,8.62E+14,735926.4819
0,-92,-98,-102,-94,-99,0,0,10.8809137,-1.0877613,9,8.62E+14,735926.482
0,-88,-99,-97,-93,-91,0,0,10.8809075,-1.0877518,96,8.62E+14,735926.4822
0,-90,-99,-96,-94,-97,0,0,10.8808928,-1.0877563,6,8.62E+14,735926.4823
0,-86,-100,-95,-94,-98,0,0,10.8808797,-1.0877554,8,8.62E+14,735926.4824
0,-92,-100,-96,-95,-96,0,0,10.8808805,-1.087749,9,8.62E+14,735926.4825
0,-100,-98,-94,-95,-99,0,0,10.880875,-1.0877523,12,8.62E+14,735926.4826
0,-100,-95,-101,-96,-100,0,0,10.8808765,-1.0877527,7,8.62E+14,735926.4827
